,BAH,OLMAR,PPT
0,1.0,1.0,1.0
1,0.9960252173913043,0.9960252173913043,0.9960252173913043
2,0.9896395974782609,0.9897364007795841,0.9897364007795841
3,0.9938592687942358,0.993846388763865,0.993846388763865
4,0.9964998440462732,0.9962610033814356,0.9962610033814356
5,1.0041956119634188,1.0040521975848364,1.0040521975848364
6,1.023358770810862,1.0204282889274452,1.0204282889274452
7,1.0209351957598378,1.0136118279574098,1.0448369335985896
8,1.040917798413299,1.0443242663445194,1.0764954926866268
9,1.0377860521941875,1.040230515220449,1.0722756303552954
10,1.0355596539021574,1.040230515220449,1.0722756303552954
11,1.0303634405892321,1.0717494998316286,1.1047655819550608
12,1.0261322072037204,1.0520185915397282,1.0844268475912682
13,1.0539896663009145,1.0604768210157076,1.093145639445902
14,1.0471168948890146,1.0604768210157076,1.093145639445902
15,1.0587325973918236,1.0227450557239688,1.054251517594417
16,1.0541665914432352,1.045368176356583,1.0775715611636054
17,1.0580272823520112,1.0731436088023774,1.1062026375437224
18,1.0581988422113864,1.0731436088023774,1.1062026375437224
19,1.0688915698858563,1.0415824552674995,1.0736692179735614
20,1.0696975252403274,1.0415824552674995,1.0736692179735614
21,1.0663946154417374,1.0415824552674995,1.0736692179735614
22,1.0607406613175447,1.0731424036621047,1.1062013952781604
23,1.0723683245838997,1.0862347409867823,1.1221638814120243
24,1.0737929503636903,1.0933930279298854,1.1539996707276834
25,1.0743226426562424,1.0671406613292889,1.1262921386335119
26,1.082812674914532,1.0700646267413312,1.1293781790933677
27,1.0854160808983524,1.06713264966406,1.126283682882652
28,1.0764190743690127,1.058350147957325,1.1170143681725277
29,1.0744328752797512,1.052666807662794,1.1110160010154413
30,1.0879528837111072,1.0445402199076375,1.1024389574876023
31,1.082048375329079,1.048603481363078,1.106727445032229
32,1.0718648103978605,1.0405187485217688,1.0981945764310308
33,1.0731770917961938,1.0405187485217688,1.0981945764310308
34,1.0744200908961603,1.0337033507189515,1.1437916152444472
35,1.0714225318666788,1.0368147978046154,1.147234428006333
36,1.0683409779272188,1.0486759590915,1.1501653349440313
37,1.0711375809992665,1.0479733461989087,1.1493947241696187
38,1.0821349086694807,1.0770965254897764,1.1813364035542924
39,1.0802940517910287,1.0770965254897764,1.1813364035542924
40,1.0852315213426378,1.088093681015027,1.1933978482345817
41,1.095136128710164,1.1146431668317935,1.2176118905752613
42,1.0888080522806,1.117106528230492,1.193405766190625
43,1.0912590840085648,1.1287802914505007,1.205876856447317
44,1.081692503726695,1.0979081504793293,1.1975804236749594
45,1.0745510119073973,1.0807368670058326,1.178850265848683
46,1.0732455471771634,1.0738741879003457,1.1713645666605441
47,1.0721883117929734,1.0835910693785473,1.1676279136928969
48,1.0725259107791374,1.0756916904827778,1.1591159062020757
49,1.0648097565621852,1.0717223881448963,1.15483876850819
50,1.06280511161888,1.0734478611898095,1.156698058925488
51,1.0571275821785944,1.0734478611898095,1.156698058925488
52,1.0532735589207762,1.0776439609929038,1.1524067091268746
53,1.069303261727296,1.093711632451308,1.1610036631769611
54,1.0645451996121025,1.0708311851004266,1.1610036631769611
55,1.0680346201413637,1.0599622485716573,1.149219475995715
56,1.0654123131415079,1.0690143261744594,1.1590338103207185
57,1.0614665738397002,1.0544971116250101,1.1432941311765632
58,1.062323448593441,1.0623847500199652,1.1307750604401798
59,1.0683844193454883,1.0668467659700491,1.1355243156940287
60,1.0667689642191212,1.078784781281254,1.1482308327866448
61,1.0714570924353473,1.078784781281254,1.1482308327866448
62,1.0720084133944683,1.0898639009850126,1.1627789174380516
63,1.0676545593279565,1.0973512659847795,1.170767208600851
64,1.062331312307384,1.0864216473755712,1.1780025499500042
65,1.0661910902534446,1.0937006724129874,1.1937760040938348
66,1.0574494471921612,1.088604027279543,1.1882130079147575
67,1.057704867060603,1.0951900816445843,1.183745327004998
68,1.0644374102263408,1.103776371884678,1.1930258903687172
69,1.0676083490784993,1.103776371884678,1.1930258903687172
